route,bytes,ttfb_s,total_s
/about/,11710,0.001718,0.001778
/blog/common-kitchen-plumbing-problems-older-tahoe-homes/,10432,0.002276,0.002320
/blog/gas-line-safety-checks-before-winter/,10164,0.001500,0.001553
/blog/how-property-managers-prevent-plumbing-emergencies/,10771,0.000948,0.000984
/blog/how-to-winterize-plumbing-tahoe-second-home/,10061,0.001053,0.001101
/blog/,13303,0.000914,0.000949
/blog/preparing-plumbing-before-leaving-for-season/,10620,0.001011,0.001048
/blog/signs-of-hidden-leak-what-to-do/,10177,0.001371,0.001411
/blog/tankless-vs-tank-water-heaters-cold-climates/,10255,0.001088,0.001127
/blog/water-heater-maintenance-tahoe-homeowner/,10411,0.001054,0.001090
/blog/what-to-do-when-pipe-freezes/,10033,0.002970,0.003021
/blog/why-smart-leak-shutoff-matters-mountain-homes/,10400,0.001301,0.001358
/contact/,14970,0.002284,0.002322
/faqs/,18477,0.001810,0.001859
/,23716,0.001000,0.001045
/membership/,10377,0.001498,0.001540
/privacy-policy/,7281,0.002002,0.002054
/request-service/,11097,0.002042,0.002092
/resources/,10749,0.001464,0.001513
/reviews/,10585,0.001028,0.001074
/service-areas/agate-bay/,26316,0.001095,0.001140
/service-areas/alpine-meadows/,26482,0.001072,0.001116
/service-areas/carnelian-bay/,25532,0.001009,0.001066
/service-areas/dollar-point/,26132,0.000910,0.000957
/service-areas/donner-lake/,25981,0.000892,0.000940
/service-areas/donner-summit-serene-lakes/,27998,0.000979,0.001020
/service-areas/glenshire/,26310,0.000949,0.000986
/service-areas/grays-crossing/,25025,0.000960,0.000998
/service-areas/homewood/,25874,0.000900,0.000940
/service-areas/,11238,0.000886,0.000927
/service-areas/kings-beach/,26970,0.002046,0.002099
/service-areas/lahontan/,26434,0.000993,0.001046
/service-areas/martis-camp/,27949,0.000880,0.000916
/service-areas/martis-valley/,14904,0.001723,0.001779
/service-areas/meeks-bay/,27905,0.000923,0.000959
/service-areas/norden/,28686,0.001034,0.001072
/service-areas/northstar/,25745,0.001002,0.001057
/service-areas/old-greenwood/,25004,0.001008,0.001045
/service-areas/olympic-valley/,26396,0.000910,0.000960
/service-areas/schaffers-mill/,26455,0.000987,0.001025
/service-areas/soda-springs/,27879,0.001344,0.001396
/service-areas/tahoe-city/,27136,0.000961,0.001011
/service-areas/tahoe-donner/,25515,0.000905,0.001010
/service-areas/tahoe-vista/,26246,0.001184,0.001224
/service-areas/tahoma/,25944,0.004095,0.004163
/service-areas/truckee/,25869,0.002784,0.002914
/services/appliance-installation/,17938,0.001445,0.001491
/services/frozen-burst-pipes/,19241,0.001083,0.001127
/services/gas-services/,18689,0.000929,0.000965
/services/,12061,0.001471,0.001512
/services/kitchen-bath-plumbing/,19042,0.001507,0.001552
/services/smart-leak-shutoff/,18939,0.002185,0.002226
/services/water-heaters/,20147,0.001092,0.001141
/terms-of-use/,6364,0.001343,0.001388
/thank-you/,5836,0.001341,0.001381
